dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,n_runs,actual_noise_rate,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,human_noisy_label,3,0.40199999999999997,0.942739340259387,1.994697852917463e-06,0.7773300165837479,2.8723893989556885e-05,0.8520814395485615,1.8071579695260775e-05
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,instance_0.4,3,0.3971,0.9657539587809821,0.00027151035935600647,0.9767145883447279,0.0015088947172604641,0.9712030880798445,0.0008803131229882094
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,pairflip_0.3,3,0.29989333333333335,0.8460908777250878,0.008657676723006994,0.9072160581745304,0.005615989838797746,0.8755508425501137,0.0026004839732298537
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,symmetric_0.6,3,0.5996733333333334,0.9848795705707521,0.00034667369385058916,0.9790560445260623,0.0006092451496788954,0.9819590249914564,0.00016758918284757933
