dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,hard_detection_threshold,n_runs,original_precision_mean,original_precision_std,original_recall_mean,original_recall_std,original_f1_mean,original_f1_std,expanded_precision_mean,expanded_precision_std,expanded_recall_mean,expanded_recall_std,expanded_f1_mean,expanded_f1_std,delta_f1_pp_mean,delta_f1_pp_std,added_count_mean,added_count_std,added_true_noisy_mean,added_true_noisy_std,added_true_clean_mean,added_true_clean_std
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,human_worse_label,0.5,3,0.9817037104405721,0.002187103676392326,0.9308926913383738,0.015795076733089528,0.9555643765126788,0.007337936096142247,0.9817037104405721,0.002187103676392326,0.9308926913383738,0.015795076733089528,0.9555643765126788,0.007337936096142247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,instance_0.4,0.5,3,0.970226424843354,0.007557855632357278,0.9924459728327086,0.004365893029443436,0.9811861907661937,0.001756293544734487,0.970226424843354,0.007557855632357278,0.9924459728327086,0.004365893029443436,0.9811861907661937,0.001756293544734487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,pairflip_0.3,0.5,3,0.9306737013428705,0.00381242541557042,0.9890111199483123,0.0019040971201054195,0.9589503295533754,0.0012089959530114883,0.9306737013428705,0.00381242541557042,0.9890111199483123,0.0019040971201054195,0.9589503295533754,0.0012089959530114883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,symmetric_0.6,0.5,3,0.9857941716621732,0.00014403954713051556,0.9949910305865562,0.0001664048874318213,0.9903712502990875,0.00015476869727733503,0.9857941716621732,0.00014403954713051556,0.9949910305865562,0.0001664048874318213,0.9903712502990875,0.00015476869727733503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
