method,backbone,dataset,noise_name,seed,ece_type,ece,source_file
Ours,vit_l16_imagenet,cifar10,human_worse_label,2,Calibrated,0.0274554938554763,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,human_worse_label,3,Calibrated,0.0267577216908335,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,instance_0.4,1,Raw,0.0765886969104409,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,instance_0.4,2,Raw,0.077697648191452,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,instance_0.4,3,Raw,0.0765801849350333,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,instance_0.4,1,Calibrated,0.0210966591686011,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,instance_0.4,2,Calibrated,0.0216782312348485,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,instance_0.4,3,Calibrated,0.0208589443266391,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,pairflip_0.3,1,Raw,0.0567662084117531,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,pairflip_0.3,2,Raw,0.0581124474868178,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,pairflip_0.3,3,Raw,0.0561309132680296,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,pairflip_0.3,1,Calibrated,0.019438395640254,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,pairflip_0.3,2,Calibrated,0.0203172505497932,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,pairflip_0.3,3,Calibrated,0.0190315159559249,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,symmetric_0.6,1,Raw,0.1231449080765247,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,symmetric_0.6,2,Raw,0.1227845174998045,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,symmetric_0.6,3,Raw,0.1225714204832912,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,symmetric_0.6,1,Calibrated,0.0250503186166286,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,symmetric_0.6,2,Calibrated,0.0238766230151057,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,symmetric_0.6,3,Calibrated,0.0240721352919935,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar100,human_noisy_label,1,Raw,0.0884684624064714,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,human_noisy_label,2,Raw,0.0859794448651373,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,human_noisy_label,3,Raw,0.0879747879877686,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,human_noisy_label,1,Calibrated,0.0268910180278122,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,human_noisy_label,2,Calibrated,0.0304604792259633,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,human_noisy_label,3,Calibrated,0.0281586211763322,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,instance_0.4,1,Raw,0.1453564914450049,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,instance_0.4,2,Raw,0.1440818202178925,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,instance_0.4,3,Raw,0.1420507728461176,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,instance_0.4,1,Calibrated,0.0134852760583161,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,instance_0.4,2,Calibrated,0.0126273383237421,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,instance_0.4,3,Calibrated,0.01061634003371,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,pairflip_0.3,1,Raw,0.0987064847268164,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,pairflip_0.3,2,Raw,0.0979074266053736,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,pairflip_0.3,3,Raw,0.1021073000241071,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,pairflip_0.3,1,Calibrated,0.0084788486525416,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,pairflip_0.3,2,Calibrated,0.006276271610707,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,pairflip_0.3,3,Calibrated,0.0058012254618108,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,symmetric_0.6,1,Raw,0.2272945360790938,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,symmetric_0.6,2,Raw,0.2368200412526726,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,symmetric_0.6,3,Raw,0.2354647105809301,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,symmetric_0.6,1,Calibrated,0.0075777132757008,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,symmetric_0.6,2,Calibrated,0.0107848491773009,stage2/vit_l16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar100,symmetric_0.6,3,Calibrated,0.0121267934069036,stage2/vit_l16_imagenet/cifar100/runs.csv
