method,backbone,dataset,noise_name,seed,ece_type,ece,source_file
Ours,clip_vit_b16,cifar100,symmetric_0.6,1,Raw,0.1058980721741914,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,symmetric_0.6,2,Raw,0.1088224729273467,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,symmetric_0.6,3,Raw,0.1076232197519391,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,symmetric_0.6,1,Calibrated,0.0813580386318266,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,symmetric_0.6,2,Calibrated,0.0795229622751474,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,symmetric_0.6,3,Calibrated,0.0772397850930691,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_l14,cifar10,human_worse_label,1,Raw,0.0219131161600351,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,human_worse_label,2,Raw,0.0230148779973387,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,human_worse_label,3,Raw,0.0224104255393147,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,human_worse_label,1,Calibrated,0.0208051425352692,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,human_worse_label,2,Calibrated,0.0219421917721629,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,human_worse_label,3,Calibrated,0.0213310706764459,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,instance_0.4,1,Raw,0.0199374315440655,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,instance_0.4,2,Raw,0.0225239693209528,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,instance_0.4,3,Raw,0.0204962773054838,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,instance_0.4,1,Calibrated,0.0171333110556006,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,instance_0.4,2,Calibrated,0.0177308496415614,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,instance_0.4,3,Calibrated,0.017823268416524,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,pairflip_0.3,1,Raw,0.0134853844717145,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,pairflip_0.3,2,Raw,0.0137030234858393,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,pairflip_0.3,3,Raw,0.0132587603569031,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,pairflip_0.3,1,Calibrated,0.0218445456773042,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,pairflip_0.3,2,Calibrated,0.0203611048489809,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,pairflip_0.3,3,Calibrated,0.0205473002657294,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,symmetric_0.6,1,Raw,0.0462780235752463,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,symmetric_0.6,2,Raw,0.044898964627087,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,symmetric_0.6,3,Raw,0.0442236653476953,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,symmetric_0.6,1,Calibrated,0.0132562777504324,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,symmetric_0.6,2,Calibrated,0.0128441977083683,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar10,symmetric_0.6,3,Calibrated,0.0127703669801354,stage2/clip_vit_l14/cifar10/runs.csv
Ours,clip_vit_l14,cifar100,human_noisy_label,1,Raw,0.0241422831799835,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,human_noisy_label,2,Raw,0.0216621718384325,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,human_noisy_label,3,Raw,0.0225424360536039,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,human_noisy_label,1,Calibrated,0.0516761618442833,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,human_noisy_label,2,Calibrated,0.051534446234256,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,human_noisy_label,3,Calibrated,0.0486867153942584,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,instance_0.4,1,Raw,0.0519234602466225,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,instance_0.4,2,Raw,0.0548711639039218,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,instance_0.4,3,Raw,0.0519613370150327,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,instance_0.4,1,Calibrated,0.0152176692340523,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,instance_0.4,2,Calibrated,0.0199356456976383,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,instance_0.4,3,Calibrated,0.0148592719078063,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,pairflip_0.3,1,Raw,0.0180059964187443,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,pairflip_0.3,2,Raw,0.0173349991235882,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,pairflip_0.3,3,Raw,0.016079891713336,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,pairflip_0.3,1,Calibrated,0.0190499335028231,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,pairflip_0.3,2,Calibrated,0.0197133001007139,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,pairflip_0.3,3,Calibrated,0.017495280008018,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,symmetric_0.6,1,Raw,0.0565535791832953,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,symmetric_0.6,2,Raw,0.0530427892241626,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,symmetric_0.6,3,Raw,0.0564201278101652,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,symmetric_0.6,1,Calibrated,0.0166258714120834,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,symmetric_0.6,2,Calibrated,0.0150127051401883,stage2/clip_vit_l14/cifar100/runs.csv
Ours,clip_vit_l14,cifar100,symmetric_0.6,3,Calibrated,0.0162902879003435,stage2/clip_vit_l14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar10,human_worse_label,1,Raw,0.0582521639034152,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,human_worse_label,2,Raw,0.0588108284667134,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,human_worse_label,3,Raw,0.0588065919116138,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,human_worse_label,1,Calibrated,0.0368650483697652,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,human_worse_label,2,Calibrated,0.0372000787854194,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,human_worse_label,3,Calibrated,0.0375303231909871,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,instance_0.4,1,Raw,0.0575207438498735,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,instance_0.4,2,Raw,0.0572970643937587,stage2/dinov2_vit_b14/cifar10/runs.csv
