dataset,backbone,method,feature_sha256,noise_name,n_runs,actual_noise_rate,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
cifar10,clip_vit_b16,CLIPCleaner,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,human_worse_label,3,0.40208,0.8218727943791334,6.499035518161859e-05,0.9827397532829288,4.9741345005988036e-05,0.8951362624701854,3.544361002123327e-05,0.9792964351849732,1.905314958016218e-05,0.9711700524484965,2.8937963363112737e-05
cifar10,clip_vit_b16,CLIPCleaner,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,instance_0.4,3,0.4000333333333333,0.8062673896847891,0.005731274087474505,0.9985658962652205,0.00041273938452968226,0.8921640120021664,0.003349669967672038,0.9955894864430421,0.00019474254369928286,0.9927476384437192,0.0003796193644270407
cifar10,clip_vit_b16,CLIPCleaner,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,pairflip_0.3,3,0.3002666666666666,0.6592219735763521,0.0033654157810739877,0.9979349388863707,7.599587293037919e-05,0.7939597957814691,0.0024655429184236325,0.9563324174705027,0.000433775681024307,0.824027334140416,0.002144938254104781
cifar10,clip_vit_b16,CLIPCleaner,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,symmetric_0.6,3,0.6002533333333333,0.9330110877419237,0.0018638659015013312,0.9958350548682428,0.00021945326311528825,0.963399170517446,0.0008908819001231214,0.9960540090568825,0.00017120644482668043,0.9972261669576804,0.00011672497409308193
cifar100,clip_vit_b16,CLIPCleaner,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,human_noisy_label,3,0.40199999999999997,0.6797439352136725,0.000112609134174148,0.9209121061359866,5.744778797902564e-05,0.7821598138443041,7.594106836807103e-05,0.9049294336566888,5.0134189848134275e-05,0.8771627649253726,3.808009741275695e-05
cifar100,clip_vit_b16,CLIPCleaner,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,instance_0.4,3,0.3971,0.716944028040559,0.003253361873413585,0.9979179301334264,0.0007570487014500839,0.8344092091463985,0.002031360697334389,0.9932678792461433,0.0005925914898424565,0.9903912253675724,0.000685474218956838
cifar100,clip_vit_b16,CLIPCleaner,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,pairflip_0.3,3,0.29989333333333335,0.5114934547526263,0.000840287282892117,0.9961972539436245,0.0007798087360335758,0.6759320464154697,0.0008476326790327899,0.9236741512426904,0.00036503782692666264,0.7646225254705517,0.0007773755402397671
cifar100,clip_vit_b16,CLIPCleaner,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,symmetric_0.6,3,0.5996733333333334,0.8622139045997983,0.0008399371408852712,0.9973307390536853,0.00037363155261500007,0.9248633866388843,0.0006426211986654531,0.9937846555413605,3.915814584246132e-05,0.9958366072435751,2.4606344756768436e-05
