dataset,backbone,method,feature_sha256,human_noisy_label,human_worse_label,instance_0.4,pairflip_0.3,symmetric_0.6
cifar10,clip_vit_b16,CLIPCleaner,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,,89.51362624701854,89.21640120021664,79.3959795781469,96.33991705174459
cifar100,clip_vit_b16,CLIPCleaner,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,78.2159813844304,,83.44092091463985,67.59320464154696,92.48633866388843
