Method,CIFAR10-Human,CIFAR10-Symm0.6,CIFAR10-Pairflip0.3,CIFAR10-Inst0.4,CIFAR100-Human,CIFAR100-Symm0.6,CIFAR100-Pairflip0.3,CIFAR100-Inst0.4
SimiFeat-V,91.3698952263998,90.6119976632339,81.55417213321293,95.23070132258832,84.90937117950354,92.45275930912712,75.29792028649638,92.85298750528192
SimiFeat-R,90.25600458147088,92.88746273250462,82.81422705515627,95.19177335972665,86.05490927762828,94.98107702866515,75.77450250694154,91.72141775322939
Global-Local-GMM,97.8264684499486,99.44854621453968,97.81668443991158,99.13407864768713,89.22149347336864,98.51189887653348,88.74648591615056,97.51588624970603
