dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,n_runs,actual_noise_rate,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,human_worse_label,3,0.40208,0.9861511245893354,0.0,0.9705033824114603,0.0,0.9782646844994861,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,instance_0.4,3,0.4000333333333333,0.9888616984722748,0.0016958509439945688,0.99383524731939,0.001430289752443045,0.9913407864768714,0.0005564964732793345
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,pairflip_0.3,3,0.3002666666666666,0.9598847599864014,0.0003327477502235529,0.9971589173809597,0.0005001735536213397,0.9781668443991158,0.00036499685735026346
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,symmetric_0.6,3,0.6002533333333333,0.9915319840647673,0.00037610569786193014,0.9974565992943759,0.0005015114474146466,0.9944854621453968,0.000433030122852496
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,human_noisy_label,3,0.40199999999999997,0.8769600388899237,2.4328720625999054e-05,0.9080099502487563,0.0,0.8922149347336864,1.2591145063531507e-05
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,instance_0.4,3,0.3971,0.9674682753129463,0.001887037998907351,0.9829765792187851,0.0016863955998838252,0.9751588624970603,0.0006444108339893231
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,pairflip_0.3,3,0.29989333333333335,0.8062898647112108,0.009917806959916653,0.9868857625259714,0.0018020946063572838,0.8874648591615056,0.005299306986120956
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,symmetric_0.6,3,0.5996733333333334,0.9774418239426484,0.001244893667045068,0.9929181908868228,0.00012775734676145597,0.9851189887653348,0.0006701592362566122
