dataset,noise_name,seed,feature_sha256,method,precision,recall,f1,actual_noise_rate
cifar10,instance_0.4,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9554520603422092,0.9436528173591321,0.9495157841780908,0.40002
cifar10,instance_0.4,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.9664807354612127,0.9356032198390081,0.9507913522851409,0.40002
cifar10,instance_0.4,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9547115047790622,0.9576828472466241,0.9561948676824379,0.39842
cifar10,instance_0.4,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.9688386730640252,0.9426735605642287,0.9555770405047832,0.39842
cifar10,pairflip_0.3,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.829663810151615,0.8423800281105682,0.8359735644780977,0.29882
cifar10,pairflip_0.3,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.8800884281140418,0.7727059768422462,0.8229088705941052,0.29882
cifar10,pairflip_0.3,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.8196442584357834,0.8313324932015653,0.825447001876914,0.30154
cifar10,pairflip_0.3,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.8734628814331259,0.7632154937985011,0.814626030936958,0.30154
cifar10,pairflip_0.3,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.808752650857914,0.8377712688057516,0.8230062452996763,0.30044
cifar10,pairflip_0.3,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.8685858277336591,0.7572227399813607,0.8090902624653247,0.30044
cifar10,symmetric_0.6,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9287806176783813,0.929832744719131,0.9293063834038161,0.60028
cifar10,symmetric_0.6,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.9545521671712324,0.8614313320450456,0.9056042031523642,0.60028
cifar10,symmetric_0.6,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9252379846761086,0.9301433811270423,0.9276841982739986,0.5998
cifar10,symmetric_0.6,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.9542094229283902,0.8650883627875958,0.9074660277374561,0.5998
cifar10,symmetric_0.6,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9224414869206058,0.9369381367783179,0.929633300297324,0.60068
cifar10,symmetric_0.6,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.9547217195405695,0.8607245122194845,0.9052896990071965,0.60068
cifar100,human_noisy_label,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.9054962000220289,0.8180099502487562,0.8595326467666893,0.402
cifar100,human_noisy_label,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.911445851877211,0.7947263681592039,0.8490937117950353,0.402
cifar100,human_noisy_label,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.9056045581548239,0.8223880597014925,0.8619925429562224,0.402
cifar100,human_noisy_label,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.911445851877211,0.7947263681592039,0.8490937117950353,0.402
cifar100,human_noisy_label,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.9084620067518955,0.8166666666666667,0.8601220886059368,0.402
cifar100,human_noisy_label,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.911445851877211,0.7947263681592039,0.8490937117950353,0.402
cifar100,instance_0.4,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.8755029261155816,0.9637626453268912,0.9175151529671067,0.39738
cifar100,instance_0.4,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.9017286289367749,0.9582767124666566,0.9291430802264298,0.39738
cifar100,instance_0.4,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.8758032906430883,0.9670373911730663,0.9191619630728021,0.39742
cifar100,instance_0.4,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.9005569190107608,0.9602435710331639,0.9294429966633381,0.39742
cifar100,instance_0.4,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.8705255487749339,0.964186633039092,0.9149654165569729,0.3965
cifar100,instance_0.4,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.9002376425855513,0.9554098360655737,0.9270035482686896,0.3965
cifar100,pairflip_0.3,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.7052673674588665,0.8258077463375476,0.7607925307367578,0.29898
cifar100,pairflip_0.3,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.753777541103641,0.7575088634691284,0.7556385960229548,0.29898
cifar100,pairflip_0.3,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.700988187187642,0.8213335107798776,0.7564039710748867,0.30056
cifar100,pairflip_0.3,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.7510899722552516,0.756587702954485,0.7538288138964397,0.30056
cifar100,pairflip_0.3,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.6992864424057085,0.8228160191910442,0.7560385733966019,0.30014
cifar100,pairflip_0.3,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.7448825116830119,0.7541147464516559,0.7494701986754967,0.30014
cifar100,symmetric_0.6,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.9247683716207641,0.9769710378117458,0.9501532242289887,0.59664
cifar100,symmetric_0.6,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.9562300434111864,0.8934365781710915,0.923767437830344,0.59664
cifar100,symmetric_0.6,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.927257234828163,0.9761461794019933,0.9510738504863483,0.602
cifar100,symmetric_0.6,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.9580374665477253,0.8919933554817275,0.9238365591397849,0.602
cifar100,symmetric_0.6,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-R,0.9224420362903226,0.9754488823744961,0.9482052361446174,0.60038
cifar100,symmetric_0.6,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,SimiFeat-V,0.9568941009239517,0.8969985675738699,0.9259787823036847,0.60038
