dataset,noise_name,backbone,n_runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
cifar100,human_noisy_label,clip_vit_l14,3,0.8002333442370096,0.0006027807569034734,0.793184006661588,0.0007010387538729536
cifar100,instance_0.4,clip_vit_l14,3,0.852733333905538,0.0012096695509363458,0.8530039304294351,0.0011330962862662836
cifar100,pairflip_0.3,clip_vit_l14,3,0.8321333130200704,0.0015947880445024137,0.8327469624891131,0.0016513252483928039
cifar100,symmetric_0.6,clip_vit_l14,3,0.841866652170817,0.0007023746630080586,0.8417244143548288,0.0009487349912036468
