dataset,noise_name,backbone,n_runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
cifar10,human_worse_label,clip_vit_l14,3,0.9688666860262553,0.000351187331504049,0.9688245397398118,0.00035037758363574246
cifar10,instance_0.4,clip_vit_l14,3,0.9742666681607565,0.0004041434264995355,0.9742770379386511,0.00040165793209928017
cifar10,pairflip_0.3,clip_vit_l14,3,0.9723000129063925,0.0009000003339504882,0.9722983079471197,0.000904015373269746
cifar10,symmetric_0.6,clip_vit_l14,3,0.9733000000317892,0.0008543921649466852,0.9733182134095285,0.0008545603914138257
