dataset,noise_name,seed,feature_sha256,method,precision,recall,f1,actual_noise_rate
cifar10,instance_0.4,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.9200398803589233,0.9189862072399542,0.9195127419475375,0.40166
cifar10,instance_0.4,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.9052326983361466,0.9384530773461327,0.9215435978004713,0.40002
cifar10,instance_0.4,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.9234466529815251,0.9221538923053847,0.9227998198829239,0.40002
cifar10,instance_0.4,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.9065810286152519,0.9494503287987551,0.9275205963122793,0.39842
cifar10,instance_0.4,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.9249189324020953,0.930676170874956,0.9277886203272782,0.39842
cifar10,pairflip_0.3,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.7530279741776822,0.8197577136737836,0.7849772479651349,0.29882
cifar10,pairflip_0.3,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.801691928093056,0.7611270999263771,0.7808830598091052,0.29882
cifar10,pairflip_0.3,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.7586607907944669,0.8221131524839159,0.7891134808212638,0.30154
cifar10,pairflip_0.3,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.8053714930212886,0.7577767460370101,0.7808495369579332,0.30154
cifar10,pairflip_0.3,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.7604620222544751,0.8371055784848889,0.7969453070536789,0.30044
cifar10,pairflip_0.3,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.8132208157524613,0.7698042870456664,0.7909171739279119,0.30044
cifar10,symmetric_0.6,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.9015864742482979,0.922103018591324,0.9117293406466703,0.60028
cifar10,symmetric_0.6,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.9331013006045064,0.8485706670220564,0.8888307246680277,0.60028
cifar10,symmetric_0.6,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.9000680691063498,0.9259086362120706,0.9128055094426456,0.5998
cifar10,symmetric_0.6,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.9323338587295187,0.8481160386795599,0.8882331371898518,0.5998
cifar10,symmetric_0.6,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.900438098328736,0.9238529666378105,0.9119952669723413,0.60068
cifar10,symmetric_0.6,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.9332351858667648,0.8442431910501431,0.8865114327669393,0.60068
cifar100,human_noisy_label,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.7817475541914445,0.8109950248756219,0.7961027544442274,0.402
cifar100,human_noisy_label,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.8011058981233244,0.7135820895522388,0.7548152826018314,0.402
cifar100,human_noisy_label,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.7799056738602258,0.8144776119402986,0.796816821201723,0.402
cifar100,human_noisy_label,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.8011058981233244,0.7135820895522388,0.7548152826018314,0.402
cifar100,human_noisy_label,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.7842427751242341,0.8087064676616915,0.7962867710093811,0.402
cifar100,human_noisy_label,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.8011058981233244,0.7135820895522388,0.7548152826018314,0.402
cifar100,instance_0.4,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.7388826425774435,0.9591826463334843,0.8347422364329201,0.39738
cifar100,instance_0.4,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.7935556052808235,0.8924455181438422,0.8401004406121192,0.39738
cifar100,instance_0.4,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.7354953422751344,0.9575763675708319,0.8319706178129509,0.39742
cifar100,instance_0.4,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.7952077537467468,0.89185244829148,0.8407619137984202,0.39742
cifar100,instance_0.4,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.7363407550822846,0.9591929382093316,0.8331215772179628,0.3965
cifar100,instance_0.4,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.7933243121335137,0.8871626733921816,0.8376235266103107,0.3965
cifar100,pairflip_0.3,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.5506107806185006,0.8110910428791224,0.655937246416013,0.29898
cifar100,pairflip_0.3,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.6123063203656226,0.7348986554284568,0.6680246876045118,0.29898
cifar100,pairflip_0.3,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.5413793103448276,0.8044317274421081,0.6471973874404411,0.30056
cifar100,pairflip_0.3,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.6003009027081244,0.7168618578653181,0.6534239097470734,0.30056
cifar100,pairflip_0.3,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.5398321439791751,0.8014926367695075,0.6451405277837374,0.30014
cifar100,pairflip_0.3,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.60439745824664,0.7161991070833611,0.6555657212564806,0.30014
cifar100,symmetric_0.6,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.8507967307579232,0.9700657012603915,0.9065250759640384,0.59664
cifar100,symmetric_0.6,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.8981736019582,0.7995105926521856,0.8459751361129338,0.59664
cifar100,symmetric_0.6,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.8496771942069447,0.9706644518272425,0.9061501721303848,0.602
cifar100,symmetric_0.6,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.9019578256441209,0.7943521594684385,0.8447420021551344,0.602
cifar100,symmetric_0.6,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-R,0.850688367751721,0.971551350811153,0.9071116433136868,0.60038
cifar100,symmetric_0.6,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,SimiFeat-V,0.9031098668280871,0.7951963756287684,0.845724610724345,0.60038
