Method,CIFAR10-Human,CIFAR10-Symm0.6,CIFAR10-Pairflip0.3,CIFAR10-Inst0.4,CIFAR100-Human,CIFAR100-Symm0.6,CIFAR100-Pairflip0.3,CIFAR100-Inst0.4
SimiFeat-V,88.69230368944164,88.78584315416062,78.42165902316502,92.33670607192465,75.48152826018314,84.54805829974711,65.90047728693553,83.94952936736168
SimiFeat-R,88.06892422353857,91.21767056872191,79.03453452800258,92.33836231346082,79.64021155517771,90.659563046937,64.9425053880064,83.3278143821278
Global-Local-GMM,88.92846378144431,97.94095972894428,92.0516452051536,96.2129316877163,70.10309256745307,95.2286672289277,73.28262502956252,93.61133311778795
