dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,n_runs,actual_noise_rate,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
cifar10,clip_vit_b16,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,cuda,0.8,0.5,20,human_worse_label,3,0.40208,0.9718667304171352,9.069877850775662e-05,0.8196378830083565,0.0002769480880834337,0.8892846378144431,0.00012894806612513275
cifar10,clip_vit_b16,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,cuda,0.8,0.5,20,instance_0.4,3,0.4000333333333333,0.9570678194100641,0.018849431026707872,0.9676915622316878,0.017023196039625203,0.9621293168771631,0.0022867092916849605
cifar10,clip_vit_b16,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,cuda,0.8,0.5,20,pairflip_0.3,3,0.3002666666666666,0.8700722428666122,0.006332484425281343,0.9772084880107593,0.003439008590004942,0.920516452051536,0.0022622083969777076
cifar10,clip_vit_b16,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,cuda,0.8,0.5,20,symmetric_0.6,3,0.6002533333333333,0.975667917264467,0.0029627232778153285,0.9831963566596723,0.003982040796315608,0.9794095972894428,0.0006531128286071173
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,human_noisy_label,3,0.40199999999999997,0.8854301293806698,0.00010135649690360905,0.5801990049751243,8.617168196855849e-05,0.7010309256745307,3.112611586715664e-05
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,instance_0.4,3,0.3971,0.93648614270928,0.0021062799825635197,0.9357687120168648,0.00745360173457007,0.9361133311778795,0.0032334787208665337
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,pairflip_0.3,3,0.29989333333333335,0.6775192006676113,0.0012465119757486822,0.7980428805137215,0.011625439734539377,0.7328262502956252,0.004167420252318712
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,symmetric_0.6,3,0.5996733333333334,0.9695874884846533,0.0012612228816646478,0.9355927187753296,0.0018384751386035828,0.952286672289277,0.0015277963440103917
