dataset,noise_name,backbone,n_runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,ece_raw_mean,ece_raw_std,temperature_mean,temperature_std,ece_calibrated_mean,ece_calibrated_std,n_calibration_anchors_mean,n_calibration_anchors_std
cifar100,human_noisy_label,dinov2_vit_b14,3,0.8469000260035197,0.00017319940953440977,0.8426133070753928,0.0001665936927981731,0.06790132282835744,0.0003467290773333819,0.926787048350448,0.0004076834684057897,0.03880353294362624,0.00018391293119311545,2376.0,0.0
cifar100,instance_0.4,dinov2_vit_b14,3,0.9062666694323221,0.0019295992054556004,0.9062790455132236,0.0019671196529802595,0.10287893312244363,0.0020282862865265198,0.7739483207192032,0.00680790325369529,0.021994025360420347,0.002287560871473633,2923.6666666666665,3.055050463303881
cifar100,pairflip_0.3,dinov2_vit_b14,3,0.8979666630427042,0.002230095708250946,0.8975605207404914,0.002238686612609765,0.07500056837933759,0.0006341416888469689,0.8686694364488962,0.0020383134116744557,0.028556069263940078,0.0009925588766420842,3031.6666666666665,11.23981020005823
cifar100,symmetric_0.6,dinov2_vit_b14,3,0.897433320681254,0.0009609118996912643,0.8974216460265785,0.000846545751218607,0.16614267087187617,0.0015050783838981305,0.6921616879680709,0.005715204383287878,0.02085637594920896,0.001751268483853364,1937.3333333333333,10.69267662156362
