method,dataset,noise_type,noise_rate,noise_name,backbone,feature_dim,feature_sha256,seed,partition_seed,tau_global,tau_local,knn_k,gce_q,prototype_temperature,n_clean,n_hard,n_noisy,accuracy,macro_f1
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,1,1,0.8,0.5,20,0.7,0.1,23291,5897,20812,0.8468000292778015,0.842432083252165
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,2,1,0.8,0.5,20,0.7,0.1,23291,5897,20812,0.847100019454956,0.8427597929782832
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,1,0.8,0.5,20,0.7,0.1,23291,5897,20812,0.8468000292778015,0.8426480449957303
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,1,1,0.8,0.5,20,0.7,0.1,29295,466,20239,0.907800018787384,0.9078181323264358
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,2,2,0.8,0.5,20,0.7,0.1,29425,464,20111,0.9068999886512756,0.9069562116715228
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,3,0.8,0.5,20,0.7,0.1,29341,489,20170,0.9041000008583069,0.9040627925417123
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,1,1,0.8,0.5,20,0.7,0.1,29825,1730,18445,0.8970999717712402,0.8968040983300125
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,2,2,0.8,0.5,20,0.7,0.1,29979,1921,18100,0.9004999995231628,0.9000794296362448
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,3,0.8,0.5,20,0.7,0.1,29859,1621,18520,0.8963000178337097,0.8957980342552166
CE-GCE-SoftCE,cifar100,symmetric,0.6,symmetric_0.6,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,1,1,0.8,0.5,20,0.7,0.1,19175,481,30344,0.896399974822998,0.8965639170661985
CE-GCE-SoftCE,cifar100,symmetric,0.6,symmetric_0.6,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,2,2,0.8,0.5,20,0.7,0.1,19002,454,30544,0.897599995136261,0.8974444742007559
CE-GCE-SoftCE,cifar100,symmetric,0.6,symmetric_0.6,dinov2_vit_b14,768,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,3,0.8,0.5,20,0.7,0.1,19146,367,30487,0.8982999920845032,0.8982565468127811
