dataset,noise_name,backbone,n_runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,ece_raw_mean,ece_raw_std,temperature_mean,temperature_std,ece_calibrated_mean,ece_calibrated_std,n_calibration_anchors_mean,n_calibration_anchors_std
cifar10,human_worse_label,vit_b16_imagenet,3,0.9561333258946737,0.000305497211241852,0.9561263062071906,0.0003025535528031255,0.07506176288475591,0.00010875486356202905,0.791015785521108,0.00015760183561616908,0.031902430461843816,0.00019142844432491502,2822.3333333333335,1.1547005383793172
cifar10,instance_0.4,vit_b16_imagenet,3,0.9725666642189026,0.0012662294228163579,0.9725759059602502,0.0012613812151531347,0.08059782027602197,0.0009435403561355648,0.7452074958305851,0.007321822039880005,0.02751580908497178,0.0008530536717070353,2791.6666666666665,39.10669166949996
cifar10,pairflip_0.3,vit_b16_imagenet,3,0.9714333216349283,0.00030552322484149355,0.9714620167175606,0.0003114114809644187,0.06444034459243214,0.0006374142815046963,0.8087486116006618,0.0006041214658221054,0.028500586773951803,0.0006842411340103715,3043.6666666666665,13.650396819628886
cifar10,symmetric_0.6,vit_b16_imagenet,3,0.9705999890963236,0.0008185473126991107,0.9705802305735088,0.0008145423503627541,0.12247298538982869,0.0008693258912669684,0.6676754656303081,0.0022832160249659805,0.03243635238011678,0.00044381823750313105,1829.6666666666667,3.214550253664351
