method,dataset,noise_type,noise_rate,noise_name,backbone,feature_dim,feature_sha256,seed,partition_seed,tau_global,tau_local,knn_k,gce_q,prototype_temperature,n_clean,n_hard,n_noisy,accuracy,macro_f1
CE-GCE-SoftCE,cifar10,human,,human_worse_label,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,1,1,0.8,0.5,20,0.7,0.1,28858,4099,17043,0.9240999817848206,0.9242653150451815
CE-GCE-SoftCE,cifar10,human,,human_worse_label,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,2,1,0.8,0.5,20,0.7,0.1,28858,4099,17043,0.9239000082015991,0.9241081772618163
CE-GCE-SoftCE,cifar10,human,,human_worse_label,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,1,0.8,0.5,20,0.7,0.1,28858,4099,17043,0.9229000210762024,0.9230579059900738
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,1,1,0.8,0.5,20,0.7,0.1,27863,1471,20666,0.9341999888420105,0.9344325718192643
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,2,2,0.8,0.5,20,0.7,0.1,28499,1092,20409,0.9344000220298767,0.9347418831659761
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,3,0.8,0.5,20,0.7,0.1,28812,1145,20043,0.9380999803543091,0.9382772329472132
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,1,1,0.8,0.5,20,0.7,0.1,30680,1629,17691,0.9312000274658203,0.9316216531791811
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,2,2,0.8,0.5,20,0.7,0.1,30493,1736,17771,0.9325000047683716,0.9328955245243087
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,3,0.8,0.5,20,0.7,0.1,30746,1595,17659,0.932200014591217,0.9325683672240712
CE-GCE-SoftCE,cifar10,symmetric,0.6,symmetric_0.6,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,1,1,0.8,0.5,20,0.7,0.1,18649,1637,29714,0.9344000220298767,0.9345819660373657
CE-GCE-SoftCE,cifar10,symmetric,0.6,symmetric_0.6,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,2,2,0.8,0.5,20,0.7,0.1,18639,1686,29675,0.9351000189781189,0.9352716990568734
CE-GCE-SoftCE,cifar10,symmetric,0.6,symmetric_0.6,vit_b16_imagenet,768,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,3,0.8,0.5,20,0.7,0.1,18573,1101,30326,0.9347000122070312,0.9349631591942458
