dataset,backbone,method,feature_sha256,noise_name,n_runs,actual_noise_rate,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
cifar100,clip_vit_l14,CLIPCleaner,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,human_noisy_label,3,0.40199999999999997,0.7605181831497655,0.00013498325932574255,0.9433830845771144,0.0002279888405450787,0.8421379835974875,0.00017323698259298024,0.9434941210890918,5.4719625121276306e-05,0.9255084537696718,6.277685655233164e-05
cifar100,clip_vit_l14,CLIPCleaner,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,instance_0.4,3,0.3971,0.7836078682964526,0.0022962739946277445,0.9984723925097918,0.0003342493478542022,0.8780860271545032,0.0015369622115773494,0.9961723106981375,0.0001839995141478346,0.9943140128482396,0.0002321222333770849
cifar100,clip_vit_l14,CLIPCleaner,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,pairflip_0.3,3,0.29989333333333335,0.5527049798875007,0.0029941003503988132,0.9976203223683325,0.0005819685161529005,0.7113186892111593,0.00260674322033079,0.9387578157510914,0.0012570617793328117,0.7982757962487912,0.0039030428268368713
cifar100,clip_vit_l14,CLIPCleaner,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,symmetric_0.6,3,0.5996733333333334,0.9042263128398956,0.0016250965347190433,0.9981877804312443,0.00023734843871152345,0.9488862375667599,0.0009898046985135898,0.9966471630056913,6.56905336687354e-05,0.9976962285709208,1.9734275703776433e-05
