Method,CIFAR10-Human,CIFAR10-Symm0.6,CIFAR10-Pairflip0.3,CIFAR10-Inst0.4,CIFAR100-Human,CIFAR100-Symm0.6,CIFAR100-Pairflip0.3,CIFAR100-Inst0.4
SimiFeat-V,91.81763989321722,90.44174496524629,81.12485016559043,94.33551372517742,84.1308125210716,90.98907320705966,72.81713034934803,90.59245150650739
SimiFeat-R,90.10590246168562,92.6443225897208,82.33033669643083,94.26444370021025,85.06544940037828,94.0508146273268,72.79395884000527,89.64850086472582
Global-Local-GMM,84.42061117446636,99.14261190844235,97.03973056479879,98.47622292605755,80.18267446838875,97.69887453455345,85.19310702483402,96.52747110628374
