dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,n_runs,actual_noise_rate,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
cifar10,vit_l16_imagenet,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,cuda,0.8,0.5,20,human_worse_label,3,0.40208,0.9966822397049966,7.780826481502199e-07,0.7321925984878631,0.00017230907357423925,0.8442061117446635,0.00011480394193755107
cifar10,vit_l16_imagenet,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,cuda,0.8,0.5,20,instance_0.4,3,0.4000333333333333,0.9881222122564863,0.0021491677793439266,0.9814680885832096,0.009454092628381693,0.9847622292605754,0.0039529624144296165
cifar10,vit_l16_imagenet,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,cuda,0.8,0.5,20,pairflip_0.3,3,0.3002666666666666,0.9517542649999243,0.0014062991159511575,0.989786408444069,0.0003329802730746144,0.9703973056479879,0.0005711649282937282
cifar10,vit_l16_imagenet,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,cuda,0.8,0.5,20,symmetric_0.6,3,0.6002533333333333,0.9939610550049413,0.00032568180583434037,0.9889044158243404,0.000736502766767088,0.9914261190844235,0.0002737721878971026
cifar100,vit_l16_imagenet,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,cuda,0.8,0.5,20,human_noisy_label,3,0.40199999999999997,0.9404753933712756,0.0,0.6988059701492538,0.0,0.8018267446838876,0.0
cifar100,vit_l16_imagenet,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,cuda,0.8,0.5,20,instance_0.4,3,0.3971,0.9612588061728545,0.0011824046803624675,0.9693257793107541,0.002193570193102567,0.9652747110628374,0.0014257382016585845
cifar100,vit_l16_imagenet,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,cuda,0.8,0.5,20,pairflip_0.3,3,0.29989333333333335,0.8309399317353269,0.0037660854843299435,0.874113293548374,0.012649062677831426,0.8519310702483401,0.004328832774198733
cifar100,vit_l16_imagenet,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,cuda,0.8,0.5,20,symmetric_0.6,3,0.5996733333333334,0.9820478488056096,0.0026739331156569865,0.9719980629960708,0.004326324170969978,0.9769887453455345,0.000862508286850215
