dataset,backbone,method,feature_sha256,noise_name,n_runs,actual_noise_rate,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
cifar10,clip_vit_b16,CLIPCleaner,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,human_worse_label,3,0.40208,0.8218727943791334,6.499035518161859e-05,0.9827397532829288,4.9741345005988036e-05,0.8951362624701854,3.544361002123327e-05,0.9792964351849732,1.905314958016218e-05,0.9711700524484965,2.8937963363112737e-05
cifar10,clip_vit_b16,CLIPCleaner,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,instance_0.4,3,0.4000333333333333,0.8062673896847891,0.005731274087474505,0.9985658962652205,0.00041273938452968226,0.8921640120021664,0.003349669967672038,0.9955894864430421,0.00019474254369928286,0.9927476384437192,0.0003796193644270407
cifar10,clip_vit_b16,CLIPCleaner,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,pairflip_0.3,3,0.3002666666666666,0.6592219735763521,0.0033654157810739877,0.9979349388863707,7.599587293037919e-05,0.7939597957814691,0.0024655429184236325,0.9563324174705027,0.000433775681024307,0.824027334140416,0.002144938254104781
cifar10,clip_vit_b16,CLIPCleaner,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,symmetric_0.6,3,0.6002533333333333,0.9330110877419237,0.0018638659015013312,0.9958350548682428,0.00021945326311528825,0.963399170517446,0.0008908819001231214,0.9960540090568825,0.00017120644482668043,0.9972261669576804,0.00011672497409308193
