dataset,noise_name,backbone,n_runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
cifar10,human_worse_label,dinov2_vit_b14,3,0.9771999915440878,0.0003000199799703144,0.9771252733478192,0.0003026824856144334
cifar10,instance_0.4,dinov2_vit_b14,3,0.98553333679835,0.0006658522887862283,0.9855411862720654,0.000659905721028738
cifar10,pairflip_0.3,dinov2_vit_b14,3,0.9862666527430216,0.0006027527397235086,0.9862782401088991,0.000603452534215586
cifar10,symmetric_0.6,dinov2_vit_b14,3,0.984933336575826,0.00020814387733907128,0.9849417937762661,0.0002104021445968634
