dataset,noise_name,seed,feature_sha256,method,precision,recall,f1,actual_noise_rate
cifar10,human_worse_label,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-R,0.94981076188909,0.8613211301233585,0.9034041998173993,0.40208
cifar10,human_worse_label,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-V,0.9550805620354799,0.8756963788300836,0.9136673845914316,0.40208
cifar10,instance_0.4,1,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-R,0.9426640830724897,0.9447293731016282,0.9436955981099229,0.40166
cifar10,instance_0.4,1,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-V,0.9538884364820847,0.933227107503859,0.9434446653746444,0.40166
cifar10,instance_0.4,2,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-R,0.9351105395914734,0.9453027348632569,0.9401790154152163,0.40002
cifar10,instance_0.4,2,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-V,0.9507477160210279,0.9313534323283836,0.9409506490882457,0.40002
cifar10,instance_0.4,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-R,0.9336144342027849,0.9558757090507505,0.9446139345685443,0.39842
cifar10,instance_0.4,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-V,0.9538766990785521,0.9405652326690427,0.9471741987665555,0.39842
cifar10,pairflip_0.3,1,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-R,0.8020376579829765,0.8324743993039287,0.81697264277973,0.29882
cifar10,pairflip_0.3,1,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-V,0.8540183867141162,0.7709657988086474,0.8103696929192022,0.29882
cifar10,pairflip_0.3,2,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-R,0.7937042925278219,0.8278172050142601,0.8104019219531199,0.30154
cifar10,pairflip_0.3,2,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-V,0.8456355963574443,0.7575777674603701,0.799188357122866,0.30154
cifar10,pairflip_0.3,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-R,0.8001146935134447,0.8359073359073359,0.8176194817033468,0.30044
cifar10,pairflip_0.3,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-V,0.8502820665083135,0.7625482625482626,0.8040289183687794,0.30044
cifar10,symmetric_0.6,1,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-R,0.920332936979786,0.9283667621776505,0.9243323934317466,0.60028
cifar10,symmetric_0.6,1,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-V,0.9475753122703894,0.8593656293729592,0.9013173987489953,0.60028
cifar10,symmetric_0.6,2,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-R,0.914995569267124,0.9296098699566522,0.9222448270728923,0.5998
cifar10,symmetric_0.6,2,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-V,0.943532694496457,0.856918972990997,0.898142485190557,0.5998
cifar10,symmetric_0.6,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-R,0.9162190488667628,0.9314110674568822,0.92375260046891,0.60068
cifar10,symmetric_0.6,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,SimiFeat-V,0.9487443847116872,0.8578943863621229,0.9010351098055672,0.60068
cifar100,human_noisy_label,1,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.8470606403788736,0.8186567164179105,0.8326165055912564,0.402
cifar100,human_noisy_label,1,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.8576316822796881,0.7606467661691543,0.8062330266037387,0.402
cifar100,human_noisy_label,2,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.8487075389280024,0.8216417910447761,0.8349553830986628,0.402
cifar100,human_noisy_label,2,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.8576316822796881,0.7606467661691543,0.8062330266037387,0.402
cifar100,human_noisy_label,3,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.8480123108489356,0.8224875621890547,0.8350549311781791,0.402
cifar100,human_noisy_label,3,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.8576316822796881,0.7606467661691543,0.8062330266037387,0.402
cifar100,instance_0.4,1,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.7985833333333333,0.9646182495344506,0.8737833093984363,0.39738
cifar100,instance_0.4,1,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.8429254955570745,0.9309980371432885,0.8847754340651457,0.39738
cifar100,instance_0.4,2,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.7924653555721517,0.9611997383121131,0.8687148932299366,0.39742
cifar100,instance_0.4,2,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.8415058091665905,0.9258215489909919,0.881652409364292,0.39742
cifar100,instance_0.4,3,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.7939771547248182,0.964186633039092,0.8708428246013667,0.3965
cifar100,instance_0.4,3,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.8401380897583429,0.920655737704918,0.8785559566787003,0.3965
cifar100,pairflip_0.3,1,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.6135440180586907,0.8181818181818182,0.7012383900928792,0.29898
cifar100,pairflip_0.3,1,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.671051051051051,0.7474078533681182,0.7071742776670148,0.29898
cifar100,pairflip_0.3,2,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.5933780672968605,0.8061618312483364,0.6835943010297644,0.30056
cifar100,pairflip_0.3,2,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.6546625327927498,0.7306361458610594,0.690566037735849,0.30056
cifar100,pairflip_0.3,3,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.6047430830039525,0.8156193776237756,0.694527193803728,0.30014
cifar100,pairflip_0.3,3,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.6624535761351383,0.736922769374292,0.6977066969496231,0.30014
cifar100,symmetric_0.6,1,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.8853503184713376,0.9738200589970502,0.9274802458296751,0.59664
cifar100,symmetric_0.6,1,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.9266303353937311,0.8492558326629123,0.8862574991691883,0.59664
cifar100,symmetric_0.6,2,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.8850945729886271,0.9747508305647841,0.9277617037423517,0.602
cifar100,symmetric_0.6,2,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.925905517596062,0.837375415282392,0.8794180244932138,0.602
cifar100,symmetric_0.6,3,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-R,0.8823529411764706,0.9753822579033279,0.9265382972327263,0.60038
cifar100,symmetric_0.6,3,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,SimiFeat-V,0.9248745467199003,0.8411339484992838,0.8810188415910677,0.60038
