Method,CIFAR10-Human,CIFAR10-Symm0.6,CIFAR10-Pairflip0.3,CIFAR10-Inst0.4,CIFAR100-Human,CIFAR100-Symm0.6,CIFAR100-Pairflip0.3,CIFAR100-Inst0.4
SimiFeat-V,91.36673845914315,90.01649979150397,80.45289894702825,94.38565044098152,80.62330266037388,88.223145508449,69.8482337450829,88.16612667027127
SimiFeat-R,90.58430232230191,92.34432736578496,81.49980154787322,94.28295160312278,83.42089399560328,92.7260082268251,69.31199616421239,87.11136757432465
Global-Local-GMM,95.55643765126788,99.03712502990875,95.89503295533754,98.11861907661937,79.76887927794469,97.11102338186984,80.77227750766794,95.71047696872982
