dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,hard_detection_threshold,n_runs,original_precision_mean,original_precision_std,original_recall_mean,original_recall_std,original_f1_mean,original_f1_std,expanded_precision_mean,expanded_precision_std,expanded_recall_mean,expanded_recall_std,expanded_f1_mean,expanded_f1_std,delta_f1_pp_mean,delta_f1_pp_std,added_count_mean,added_count_std,added_true_noisy_mean,added_true_noisy_std,added_true_clean_mean,added_true_clean_std
cifar10,vit_l16_imagenet,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,cuda:0,0.8,0.5,20,human_worse_label,0.5,3,0.996331827449402,0.0004081460124215141,0.8223570765353495,0.023620715262534845,0.9008979124077063,0.013904099521950888,0.996331827449402,0.0004081460124215141,0.8223570765353495,0.023620715262534845,0.9008979124077063,0.013904099521950888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar10,vit_l16_imagenet,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,cuda:0,0.8,0.5,20,instance_0.4,0.5,3,0.9891284204669212,0.000995176526194712,0.9896651995160314,0.004379037067882049,0.9893919731599672,0.0017387453978642024,0.9891284204669212,0.000995176526194712,0.9896651995160314,0.004379037067882049,0.9893919731599672,0.0017387453978642024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar10,vit_l16_imagenet,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,cuda:0,0.8,0.5,20,pairflip_0.3,0.5,3,0.9628426944788938,0.0013464528595979177,0.9935847704327624,0.000621237002403207,0.9779715484870884,0.0004188083040787288,0.9628426944788938,0.0013464528595979177,0.9935847704327624,0.000621237002403207,0.9779715484870884,0.0004188083040787288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar10,vit_l16_imagenet,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,cuda:0,0.8,0.5,20,symmetric_0.6,0.5,3,0.994462563662332,0.0007766301558878679,0.9932144382054373,0.0009447005789008501,0.9938376388838087,0.00021682944837722262,0.994462563662332,0.0007766301558878679,0.9932144382054373,0.0009447005789008501,0.9938376388838087,0.00021682944837722262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
