dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,seed,hard_detection_threshold,added_count,added_true_noisy,added_true_clean,original_precision,original_recall,original_f1,original_tp,original_fp,original_fn,original_tn,expanded_precision,expanded_recall,expanded_f1,expanded_tp,expanded_fp,expanded_fn,expanded_tn,delta_f1_pp
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,human_noisy_label,1,0.5,0,0,0,0.8769459926965213,0.9080099502487562,0.8922076652326946,18251,2561,1849,27339,0.8769459926965213,0.9080099502487562,0.8922076652326946,18251,2561,1849,27339,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,human_noisy_label,2,0.5,0,0,0,0.8769459926965213,0.9080099502487562,0.8922076652326946,18251,2561,1849,27339,0.8769459926965213,0.9080099502487562,0.8922076652326946,18251,2561,1849,27339,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,human_noisy_label,3,0.5,0,0,0,0.8769881312767287,0.9080099502487562,0.8922294737356701,18251,2560,1849,27340,0.8769881312767287,0.9080099502487562,0.8922294737356701,18251,2560,1849,27340,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,instance_0.4,1,0.5,0,0,0,0.9666979593853451,0.9846997835824651,0.9756158372394534,19565,674,304,29457,0.9666979593853451,0.9846997835824651,0.9756158372394534,19565,674,304,29457,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,instance_0.4,2,0.5,0,0,0,0.9696186166774402,0.9813295757636757,0.9754389475263868,19500,611,371,29518,0.9696186166774402,0.9813295757636757,0.9754389475263868,19500,611,371,29518,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,instance_0.4,3,0.5,0,0,0,0.9660882498760536,0.9829003783102144,0.9744218027253406,19486,684,339,29491,0.9660882498760536,0.9829003783102144,0.9744218027253406,19486,684,339,29491,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,pairflip_0.3,1,0.5,0,0,0,0.8002168609379235,0.9873570138470801,0.8839911361322393,14760,3685,189,31366,0.8002168609379235,0.9873570138470801,0.8839911361322393,14760,3685,189,31366,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,pairflip_0.3,2,0.5,0,0,0,0.8177348066298342,0.9848948629225446,0.8935643564356436,14801,3299,227,31673,0.8177348066298342,0.9848948629225446,0.8935643564356436,14801,3299,227,31673,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,pairflip_0.3,3,0.5,0,0,0,0.8009179265658747,0.9884054108082895,0.8848390849166343,14833,3687,174,31306,0.8009179265658747,0.9884054108082895,0.8848390849166343,14833,3687,174,31306,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,symmetric_0.6,1,0.5,0,0,0,0.9761402583706829,0.9928935371413248,0.9844456261632545,29620,724,212,19444,0.9761402583706829,0.9928935371413248,0.9844456261632545,29620,724,212,19444,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,symmetric_0.6,2,0.5,0,0,0,0.9786210057621791,0.9930564784053156,0.9857858980278346,29891,653,209,19247,0.9786210057621791,0.9930564784053156,0.9857858980278346,29891,653,209,19247,0.0
cifar100,dinov2_vit_b14,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,cuda,0.8,0.5,20,symmetric_0.6,3,0.5,0,0,0,0.9775642076950831,0.9928045571138279,0.9851254421049153,29803,684,216,19297,0.9775642076950831,0.9928045571138279,0.9851254421049153,29803,684,216,19297,0.0
