Method,CIFAR10-Human,CIFAR10-Symm0.6,CIFAR10-Pairflip0.3,CIFAR10-Inst0.4,CIFAR100-Human,CIFAR100-Symm0.6,CIFAR100-Pairflip0.3,CIFAR100-Inst0.4
SimiFeat-V,87.70717514417831,88.4785022893442,77.49410300844436,90.92363153064818,77.06149232307182,85.58817155432227,66.92497996501548,84.57687040031003
SimiFeat-R,87.4084570638259,90.73837324042499,77.84225007496116,90.92968470721604,79.64144213855619,91.23656335558152,66.01014060759816,83.97045475388859
Global-Local-GMM,87.72946642606497,97.26958773931203,89.83631928854048,95.52157600157544,75.90553723712974,95.30600432010013,75.44377195436313,92.86547289892879
